timestamp_ms,timestamp_utc,duration_ms,billed_duration_ms,memory_size_mb,max_memory_used_mb,init_duration_ms,cold_start
1783809862207,2026-07-11T22:44:22.207000+00:00,18.91,19.0,3008,731,,0
1783809862209,2026-07-11T22:44:22.209000+00:00,17.19,18.0,3008,730,,0
1783809862213,2026-07-11T22:44:22.213000+00:00,18.72,19.0,3008,731,,0
1783809862219,2026-07-11T22:44:22.219000+00:00,20.15,21.0,3008,732,,0
1783809862280,2026-07-11T22:44:22.280000+00:00,16.77,17.0,3008,733,,0
1783809862298,2026-07-11T22:44:22.298000+00:00,34.1,35.0,3008,733,,0
1783809862314,2026-07-11T22:44:22.314000+00:00,18.75,19.0,3008,732,,0
1783809862317,2026-07-11T22:44:22.317000+00:00,19.95,20.0,3008,732,,0
1783809862321,2026-07-11T22:44:22.321000+00:00,107.92,108.0,3008,731,,0
1783809862325,2026-07-11T22:44:22.325000+00:00,63.79,64.0,3008,730,,0
1783809862329,2026-07-11T22:44:22.329000+00:00,73.12,74.0,3008,734,,0
1783809862332,2026-07-11T22:44:22.332000+00:00,68.85,69.0,3008,731,,0
1783809862343,2026-07-11T22:44:22.343000+00:00,20.83,21.0,3008,730,,0
1783809862354,2026-07-11T22:44:22.354000+00:00,32.46,33.0,3008,729,,0
1783809862391,2026-07-11T22:44:22.391000+00:00,103.07,104.0,3008,733,,0
1783809862397,2026-07-11T22:44:22.397000+00:00,71.72,72.0,3008,732,,0
1783809862408,2026-07-11T22:44:22.408000+00:00,98.43,99.0,3008,733,,0
1783809862423,2026-07-11T22:44:22.423000+00:00,18.3,19.0,3008,733,,0
1783809862424,2026-07-11T22:44:22.424000+00:00,20.68,21.0,3008,733,,0
1783809862425,2026-07-11T22:44:22.425000+00:00,16.32,17.0,3008,731,,0
1783809862428,2026-07-11T22:44:22.428000+00:00,107.69,108.0,3008,732,,0
1783809862446,2026-07-11T22:44:22.446000+00:00,38.7,39.0,3008,730,,0
1783809862448,2026-07-11T22:44:22.448000+00:00,111.91,112.0,3008,734,,0
1783809862450,2026-07-11T22:44:22.450000+00:00,108.34,109.0,3008,731,,0
1783809862456,2026-07-11T22:44:22.456000+00:00,50.31,51.0,3008,730,,0
1783809862471,2026-07-11T22:44:22.471000+00:00,64.8,65.0,3008,729,,0
1783809862492,2026-07-11T22:44:22.492000+00:00,45.82,46.0,3008,733,,0
1783809862530,2026-07-11T22:44:22.530000+00:00,113.27,114.0,3008,733,,0
1783809862540,2026-07-11T22:44:22.540000+00:00,96.68,97.0,3008,731,,0
1783809862540,2026-07-11T22:44:22.540000+00:00,81.04,82.0,3008,731,,0
1783809862541,2026-07-11T22:44:22.541000+00:00,97.54,98.0,3008,733,,0
1783809862546,2026-07-11T22:44:22.546000+00:00,103.52,104.0,3008,732,,0
1783809862548,2026-07-11T22:44:22.548000+00:00,42.17,43.0,3008,729,,0
1783809862563,2026-07-11T22:44:22.563000+00:00,109.03,110.0,3008,735,,0
1783809862568,2026-07-11T22:44:22.568000+00:00,109.0,109.0,3008,731,,0
1783809862576,2026-07-11T22:44:22.576000+00:00,63.76,64.0,3008,730,,0
1783809862609,2026-07-11T22:44:22.609000+00:00,104.24,105.0,3008,733,,0
